drqv2_aug_pixels-True-rotate-1.5,drqv2_aug_pixels-True-rotate-8,drqv2_aug_pixels-True-rotate-1,drqv2_aug_pixels-True-rotate-6,drqv2_aug_pixels-True-rotate-0.1,drqv2_aug_pixels-True-rotate-0.6,drqv2_aug_pixels-True-rotate-2.5,drqv2_aug_pixels-True-rotate-0.8,drqv2_aug_pixels-True-rotate-0.9,drqv2_aug_pixels-True-rotate-0.7,drqv2_aug_pixels-True-rotate-11,drqv2_aug_pixels-True-rotate-1.8,drqv2_aug_pixels-True-rotate-1.6,drqv2_aug_pixels-True-rotate-1.1,drqv2_aug_pixels-True-rotate-1.7,drqv2_aug_pixels-True-rotate-1.9,drqv2_aug_pixels-True-rotate-3,drqv2_aug_pixels-True-rotate-4,drqv2_aug_pixels-True-rotate-5,drqv2_aug_pixels-True-rotate-2,drqv2_aug_pixels-True-rotate-14,drqv2_aug_pixels-True-rotate-13,drqv2_aug_pixels-True-rotate-0.5,drqv2_aug_pixels-True-rotate-0.2,drqv2_aug_pixels-True-rotate-2.1,drqv2_aug_pixels-True-rotate-15,drqv2_aug_pixels-True-rotate-0.3,drqv2_aug_pixels-True-rotate-0.4
760.1,2.9,0.0,98.7,369.4,334.8,767.9,820.4,762.6,840.9,6.2,792.0,459.4,96.5,27.1,789.2,0.1,0.7,104.6,771.2,0.0,0.0,596.9,591.7,48.7,35.2,703.3,789.9
855.6,10.8,0.0,101.3,463.7,590.0,864.3,882.1,843.7,885.4,1.4,844.2,376.8,99.4,30.9,842.5,40.1,0.6,125.5,867.7,0.0,0.0,844.5,851.2,53.4,26.5,853.5,863.2
785.8,0.0,184.9,62.2,308.1,534.6,774.0,820.2,817.7,833.9,0.0,815.4,93.2,370.1,5.9,749.7,0.0,0.5,98.1,816.4,0.0,0.0,662.2,595.6,49.3,0.0,808.0,816.3
671.5,0.0,92.6,56.3,93.0,226.2,652.1,732.0,716.4,762.2,0.0,747.2,0.0,92.2,6.1,687.3,0.0,0.0,59.6,723.0,0.0,0.0,535.8,559.5,46.4,0.0,693.9,745.8
763.9,4.5,99.3,52.9,373.6,460.5,789.1,808.3,778.8,817.3,6.0,758.2,275.2,192.2,21.9,790.8,0.0,0.7,67.6,767.9,0.0,1.3,750.4,710.6,49.2,14.1,786.1,779.1
849.8,8.7,92.6,60.9,554.9,729.0,876.8,857.9,845.8,887.7,0.0,857.9,461.1,92.3,33.6,860.4,3.6,0.6,149.6,857.2,0.0,0.0,871.9,850.1,54.4,0.4,819.6,853.8
757.7,0.0,186.2,67.0,0.0,588.3,601.8,813.5,831.4,835.5,0.5,795.5,178.5,92.2,5.6,801.9,32.4,0.0,122.9,742.8,0.0,0.0,828.0,822.0,51.8,10.1,820.6,828.6
753.0,0.0,92.9,62.0,0.0,247.9,763.7,760.5,763.8,783.5,0.0,772.7,0.0,92.9,0.0,737.1,0.0,0.0,98.4,752.4,0.0,0.0,777.8,767.6,48.1,0.0,744.7,765.1
754.2,0.0,185.8,57.6,0.0,365.5,769.9,782.1,785.0,796.7,0.0,772.8,171.3,185.0,0.0,729.4,0.0,0.0,109.3,678.8,24.1,0.0,792.5,777.5,47.1,0.0,779.7,787.8
764.1,0.0,92.2,58.1,92.4,549.3,794.5,796.3,790.4,808.1,0.0,759.2,0.0,92.0,6.1,742.4,0.0,0.0,105.5,715.4,0.0,0.0,780.8,777.5,47.8,0.0,762.5,788.8
789.0,5.5,285.0,62.1,286.2,584.1,820.8,810.2,796.2,824.2,1.1,799.6,199.0,291.1,13.8,713.1,193.7,0.9,100.0,790.2,1.0,1.6,796.2,787.0,50.9,6.6,772.3,805.4
818.8,1.3,285.9,32.8,100.0,725.6,842.5,825.7,828.8,851.8,1.4,805.7,338.3,192.6,6.6,785.2,100.0,100.0,116.4,790.0,2.8,1.0,827.6,813.0,52.1,1.3,850.7,837.5
718.5,0.0,185.7,71.8,191.7,410.6,797.2,791.6,768.4,786.8,0.0,780.0,190.8,90.5,12.7,737.0,183.1,1.0,108.6,702.8,16.7,0.0,739.4,766.4,49.0,0.8,777.0,785.7
739.9,0.0,185.8,56.1,92.9,717.6,822.0,825.7,821.3,848.8,0.0,814.1,215.9,92.7,5.4,791.1,0.0,0.0,115.0,791.2,0.0,0.0,817.5,807.6,52.4,0.0,818.9,827.5
783.9,0.0,129.8,43.3,0.0,652.8,824.9,798.5,820.9,836.1,0.0,806.2,62.4,93.6,5.8,766.9,0.0,0.0,134.6,760.7,0.0,0.0,779.7,793.3,50.5,0.0,819.6,808.8
734.0,5.1,184.6,37.6,92.8,433.8,767.3,764.1,750.3,778.5,0.0,756.3,168.7,185.3,5.5,737.8,0.0,0.0,112.2,718.3,0.0,0.0,769.6,755.1,48.7,0.0,722.0,752.9
811.2,0.0,367.3,59.4,183.9,734.7,819.1,799.2,799.3,824.9,0.0,803.8,348.6,93.5,10.8,669.0,0.0,0.0,129.9,784.9,0.0,0.0,823.5,813.7,49.8,0.0,789.5,806.7
773.2,0.0,327.2,63.2,329.5,778.6,832.4,819.8,804.4,825.9,0.0,784.5,168.1,0.0,5.9,806.8,0.0,0.0,117.6,751.4,0.0,0.0,829.6,814.2,51.5,0.0,795.7,818.7
750.3,7.5,331.2,26.7,92.3,770.8,682.3,777.3,784.3,815.0,3.0,778.6,255.7,92.3,11.1,651.9,182.3,2.2,111.3,737.0,0.0,0.0,778.6,777.9,48.9,4.2,770.4,778.4
762.4,0.0,348.3,39.2,91.2,703.9,804.8,782.2,795.4,817.2,1.3,703.4,150.3,184.1,11.3,760.9,0.0,0.2,93.8,742.4,0.0,0.0,789.4,778.7,48.2,0.0,781.3,794.3
803.6,0.0,503.5,43.7,190.0,791.6,834.5,816.6,808.7,824.5,1.2,815.5,258.8,90.1,19.1,805.7,6.6,0.0,104.9,806.5,0.0,0.0,798.6,793.6,50.4,3.7,810.7,816.0
775.3,0.0,464.3,47.3,92.4,805.4,815.2,824.0,792.5,831.3,0.0,797.5,233.7,0.0,6.0,789.5,92.1,1.6,113.3,738.7,0.0,0.0,802.0,785.8,49.9,0.0,771.1,801.7
