drqv2_aug_pixels-True-zoom-1.0,drqv2_aug_pixels-True-zoom-1.9,drqv2_aug_pixels-True-zoom-1.6,drqv2_aug_pixels-True-zoom-1.1,drqv2_aug_pixels-True-zoom-2.0,drqv2_aug_pixels-True-zoom-0.3,drqv2_aug_pixels-True-zoom-0.4,drqv2_aug_pixels-True-zoom-0.5,drqv2_aug_pixels-True-zoom-1.05,drqv2_aug_pixels-True-zoom-0.2,drqv2_aug_pixels-True-zoom-0.95,drqv2_aug_pixels-True-zoom-1.4,drqv2_aug_pixels-True-zoom-1.3,drqv2_aug_pixels-True-zoom-0.85,drqv2_aug_pixels-True-zoom-1.2,drqv2_aug_pixels-True-zoom-1.5,drqv2_aug_pixels-True-zoom-0.9,drqv2_aug_pixels-True-zoom-2.4,drqv2_aug_pixels-True-zoom-0.7,drqv2_aug_pixels-True-zoom-0.1,drqv2_aug_pixels-True-zoom-0.6,drqv2_aug_pixels-True-zoom-2.2,drqv2_aug_pixels-True-zoom-0.8,drqv2_aug_pixels-True-zoom-2.5
785.4,0.0,5.2,23.7,0.0,0.0,0.0,0.0,93.7,0.0,488.0,0.0,0.0,0.0,42.4,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762.6,14.1,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,523.5,0.0,20.4,0.0,3.7,0.0,3.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0
810.6,6.0,0.0,11.9,4.9,0.0,11.6,1.2,194.0,0.0,597.6,3.3,1.5,0.0,5.9,0.0,7.6,5.4,6.5,0.0,0.0,0.0,1.9,2.8
763.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,382.1,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
852.5,22.5,6.0,199.6,9.3,6.1,10.7,5.4,315.4,3.5,751.7,3.2,8.5,3.8,27.3,41.3,7.1,2.8,6.3,28.2,6.9,2.0,7.9,103.8
830.0,17.1,5.4,253.1,10.8,3.5,3.1,8.3,343.4,2.6,575.4,3.0,200.0,2.7,7.0,44.1,12.7,15.7,4.5,2.6,4.6,2.5,8.9,13.2
816.3,13.2,0.2,12.7,3.4,0.4,1.0,0.1,332.2,0.1,630.3,7.3,79.3,0.1,22.7,23.1,6.9,7.0,6.9,1.8,3.7,0.1,4.3,3.7
808.2,20.1,0.0,120.9,0.0,0.0,0.0,3.7,207.8,0.0,340.7,0.0,0.0,0.0,18.9,0.0,13.3,5.4,0.0,0.0,7.3,0.0,2.6,0.0
804.6,6.5,0.0,186.2,0.0,0.0,0.0,0.0,491.7,0.0,345.9,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825.9,25.4,1.6,125.0,5.5,1.2,2.7,2.3,491.5,1.4,429.5,1.6,100.0,1.4,10.1,1.9,11.3,25.8,1.5,4.9,1.5,1.1,102.2,5.9
817.0,32.2,2.3,113.3,2.5,1.0,1.3,1.4,601.2,1.9,647.7,7.2,13.4,0.7,2.0,0.8,11.8,3.1,1.3,1.8,1.8,0.7,1.3,2.3
807.3,7.4,0.0,23.7,0.0,0.0,0.0,0.0,636.5,0.0,477.6,0.0,0.0,0.0,2.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805.5,32.8,0.0,134.2,0.0,0.0,0.0,8.2,552.7,0.0,523.9,0.0,0.0,0.0,20.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0
767.2,6.1,0.0,18.8,0.0,0.0,0.0,0.0,537.1,0.0,424.9,2.7,92.4,0.0,0.0,0.0,10.7,0.8,2.6,0.0,0.0,0.0,2.5,0.0
883.0,42.2,1.6,155.7,11.8,2.9,3.2,3.3,681.3,1.4,643.6,12.2,100.0,3.6,8.7,2.2,6.8,12.1,5.2,6.1,1.5,0.9,1.6,34.8
751.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.5,0.0,308.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,153.0,0.0,0.0,0.0,0.0,1.6,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808.2,26.8,8.3,274.1,8.6,3.9,7.1,11.2,704.0,2.1,534.6,6.8,2.7,5.0,46.1,4.3,47.2,16.4,100.2,2.7,17.3,1.3,1.7,8.7
858.9,21.4,6.1,43.1,2.9,0.0,8.7,0.0,762.2,2.3,334.3,5.7,0.0,2.5,8.0,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,99.4
809.5,7.5,2.1,100.0,14.8,3.8,2.0,5.8,605.5,1.1,394.5,1.2,2.2,0.9,8.3,1.4,4.4,1.9,1.9,1.1,1.0,1.7,7.3,1.3
780.2,18.5,0.0,99.2,0.0,0.0,0.0,1.4,595.3,0.0,229.0,0.0,0.0,0.0,0.0,0.0,24.8,0.9,0.0,0.0,2.7,0.0,7.6,0.0
788.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.8,0.0,614.3,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
