drqv2_aug_pixels-True-sharp-1,drqv2_aug_pixels-True-sharp-6,drqv2_aug_pixels-True-sharp-8,drqv2_aug_pixels-True-sharp-12,drqv2_aug_pixels-True-sharp-15,drqv2_aug_pixels-True-sharp-23,drqv2_aug_pixels-True-sharp-24,drqv2_aug_pixels-True-sharp-9,drqv2_aug_pixels-True-sharp-7,drqv2_aug_pixels-True-sharp-25,drqv2_aug_pixels-True-sharp-22,drqv2_aug_pixels-True-sharp-14,drqv2_aug_pixels-True-sharp-13,drqv2_aug_pixels-True-sharp-31,drqv2_aug_pixels-True-sharp-30,drqv2_aug_pixels-True-sharp-16,drqv2_aug_pixels-True-sharp-29,drqv2_aug_pixels-True-sharp-11,drqv2_aug_pixels-True-sharp-27,drqv2_aug_pixels-True-sharp-18,drqv2_aug_pixels-True-sharp-5,drqv2_aug_pixels-True-sharp-2,drqv2_aug_pixels-True-sharp-21,drqv2_aug_pixels-True-sharp-26,drqv2_aug_pixels-True-sharp-19,drqv2_aug_pixels-True-sharp-10,drqv2_aug_pixels-True-sharp-17,drqv2_aug_pixels-True-sharp-28,drqv2_aug_pixels-True-sharp-3,drqv2_aug_pixels-True-sharp-4,drqv2_aug_pixels-True-sharp-32
5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.8,5.5,5.5,5.5
10.5,10.5,10.5,10.5,0.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11.3,10.5,10.5,10.5
5.5,5.5,5.5,5.5,6.1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5
18.0,18.0,18.0,18.0,13.8,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,100.0,18.0,18.0,18.0
22.9,22.9,22.9,22.9,6.6,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,8.1,22.9,22.9,22.9
11.2,11.2,11.2,11.2,12.7,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,0.0,11.2,11.2,11.2
11.2,11.2,11.2,11.2,5.4,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,0.0,11.2,11.2,11.2
5.5,5.5,5.5,5.5,5.8,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5
11.0,11.0,11.0,11.0,5.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,5.9,11.0,11.0,11.0
12.3,12.3,12.3,12.3,10.8,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,15.3,12.3,12.3,12.3
