drqv2_aug_pixels-True-contrast-14.0,drqv2_aug_pixels-True-contrast-1.2,drqv2_aug_pixels-True-contrast-12.5,drqv2_aug_pixels-True-contrast-3.0,drqv2_aug_pixels-True-contrast-1.4,drqv2_aug_pixels-True-contrast-1.3,drqv2_aug_pixels-True-contrast-9.0,drqv2_aug_pixels-True-contrast-0.8,drqv2_aug_pixels-True-contrast-2.5,drqv2_aug_pixels-True-contrast-0.1,drqv2_aug_pixels-True-contrast-8.5,drqv2_aug_pixels-True-contrast-11.5,drqv2_aug_pixels-True-contrast-0.6,drqv2_aug_pixels-True-contrast-0.7,drqv2_aug_pixels-True-contrast-0.9,drqv2_aug_pixels-True-contrast-13.0,drqv2_aug_pixels-True-contrast-1.6,drqv2_aug_pixels-True-contrast-9.5,drqv2_aug_pixels-True-contrast-10.5,drqv2_aug_pixels-True-contrast-1.1,drqv2_aug_pixels-True-contrast-3.5,drqv2_aug_pixels-True-contrast-1.8,drqv2_aug_pixels-True-contrast-12.0,drqv2_aug_pixels-True-contrast-1.9,drqv2_aug_pixels-True-contrast-1.0,drqv2_aug_pixels-True-contrast-1.7,drqv2_aug_pixels-True-contrast-14.5,drqv2_aug_pixels-True-contrast-15.0,drqv2_aug_pixels-True-contrast-13.5,drqv2_aug_pixels-True-contrast-0.5,drqv2_aug_pixels-True-contrast-0.2,drqv2_aug_pixels-True-contrast-11.0,drqv2_aug_pixels-True-contrast-0.3,drqv2_aug_pixels-True-contrast-2.0
5.6,78.2,5.6,5.1,59.1,93.2,5.6,802.4,5.6,0.0,5.6,5.6,712.0,803.4,794.7,5.6,40.1,5.6,5.6,773.3,5.6,30.9,5.6,5.9,781.7,20.1,5.6,5.6,5.6,635.8,0.0,5.6,10.3,5.7
14.6,200.0,11.9,12.0,63.0,86.9,14.6,775.3,11.9,4.1,11.9,14.6,615.2,771.8,764.2,11.9,60.0,11.9,11.9,737.2,11.9,53.0,11.9,12.1,758.6,36.1,11.9,11.9,11.9,647.9,193.3,11.9,20.9,12.7
5.7,92.9,0.0,0.0,66.5,0.0,5.7,778.7,0.0,0.0,0.0,5.7,633.1,765.9,771.1,0.0,0.0,0.0,0.0,723.5,0.0,0.0,0.0,0.0,746.7,0.0,0.0,0.0,0.0,519.3,0.0,0.0,0.0,0.0
25.1,342.1,12.7,13.0,179.9,192.2,25.1,819.8,12.6,3.3,12.7,25.1,744.6,803.8,817.5,12.7,72.0,12.7,12.7,783.9,12.7,43.8,12.7,13.1,800.2,37.4,12.7,12.7,12.7,650.2,200.0,12.7,111.1,15.0
5.6,93.2,5.4,5.8,334.6,85.4,5.6,821.4,5.8,0.0,5.4,5.6,707.9,800.3,809.6,5.4,28.4,5.4,5.4,783.7,5.0,23.1,5.4,6.1,790.5,22.2,5.4,5.4,5.4,696.8,91.1,5.4,10.5,5.7
14.3,194.5,21.7,24.1,216.5,369.7,14.3,825.8,22.7,4.0,21.7,14.3,717.5,804.7,822.8,21.7,148.1,21.7,21.7,781.1,21.4,107.8,21.7,22.2,807.4,74.2,21.7,21.7,21.7,641.0,339.2,21.7,36.9,22.5
13.2,200.0,29.5,32.5,413.4,478.6,13.2,824.6,30.4,2.6,29.5,13.2,677.9,795.5,823.1,29.5,184.3,29.5,29.5,816.2,29.6,118.2,29.5,31.2,812.6,91.7,29.5,29.5,29.5,669.2,471.4,29.5,63.1,31.5
7.8,100.0,5.7,5.7,105.7,42.0,7.8,730.5,5.6,2.6,5.7,7.8,513.8,745.6,736.2,5.7,34.6,5.7,5.7,701.3,5.7,20.8,5.7,5.9,712.4,25.3,5.7,5.7,5.7,124.0,89.9,5.7,7.7,5.8
10.6,186.1,16.8,18.0,269.8,185.5,10.6,826.3,17.7,0.0,16.8,10.6,711.5,804.2,838.6,16.8,90.5,16.8,16.8,783.9,17.2,66.7,16.8,18.8,817.0,57.0,16.8,16.8,16.8,728.0,275.9,16.8,31.4,17.8
11.6,187.4,11.1,11.4,309.7,133.3,11.6,849.7,11.5,0.0,11.1,11.6,719.7,848.0,855.8,11.1,68.7,11.1,11.1,841.4,11.2,38.7,11.1,11.3,846.8,32.5,11.1,11.1,11.1,793.8,185.9,11.1,18.8,11.5
11.6,193.2,24.4,26.5,674.6,278.0,11.6,879.1,24.7,1.1,24.4,11.6,772.3,881.7,882.7,24.4,121.6,24.4,24.4,851.7,24.5,82.6,24.4,25.4,863.0,72.3,24.4,24.4,24.4,219.0,285.4,24.4,132.7,25.4
